start point = [5, 5]

results: 
272: [2.13769739 4.58685949] = 1.2972826508133932
273: [2.13449196 4.58550936] = 1.2957470549963803
274: [2.13635558 4.58104205] = 1.2942031561231733
275: [2.13314363 4.5797044 ] = 1.2926596451657093
276: [2.13500522 4.5751904 ] = 1.2911075417084776
277: [2.13178646 4.57386522] = 1.28955581581616
278: [2.13364601 4.5693033 ] = 1.2879951961095788
279: [2.13042015 4.56799057] = 1.2864349442042926
280: [2.13227763 4.56337946] = 1.2848654845815881
281: [2.12904436 4.56207919] = 1.2832963836010738
282: [2.13089977 4.55741753] = 1.2817177476387869
283: [2.12765879 4.55612973] = 1.280139461783442
284: [2.12951209 4.55141613] = 1.278551299488224
285: [2.12626307 4.55014079] = 1.2769634794101097
286: [2.12811425 4.54537379] = 1.275365426341961
287: [2.12485686 4.54411092] = 1.273767708270446
288: [2.12670589 4.53928899] = 1.2721593845961425
289: [2.12343978 4.53803862] = 1.2705513893939577
290: [2.12528661 4.53316016] = 1.268932398863711
291: [2.12201143 4.5319223 ] = 1.2673137310064762
292: [2.12385604 4.52698564] = 1.2656836598460137
293: [2.12057142 4.52576032] = 1.2640539063174652
294: [2.12241375 4.52076369] = 1.2624123220267927
295: [2.1191193  4.51955093] = 1.2607710511209962
296: [2.12095932 4.5144925 ] = 1.259117501170023
297: [2.11765464 4.51329235] = 1.257464261190801
298: [2.11949228 4.50817017] = 1.255798271600765
299: [2.11617696 4.50698267] = 1.2541325894473159
300: [2.11801216 4.50179471] = 1.252453663245553
301: [2.11468576 4.5006199 ] = 1.2507750428718505
302: [2.11651846 4.49536403] = 1.2490826584057906
303: [2.11318054 4.49420195] = 1.2473905791397155
304: [2.11501066 4.48887591] = 1.2456841882341463
305: [2.11166075 4.48772664] = 1.2439781029404502
306: [2.1134882  4.48232805] = 1.2422571288798905
307: [2.1101258  4.48119165] = 1.2405364619489112
308: [2.11195049 4.475718  ] = 1.2388002972644379
309: [2.1085751  4.47459455] = 1.2370644424060038
310: [2.11039692 4.46904319] = 1.2353124464429406
311: [2.10700801 4.46793276] = 1.2335607642619701
312: [2.10882684 4.46230089] = 1.231792260501441
313: [2.10542384 4.46120358] = 1.2300240758283594
314: [2.10723956 4.45548822] = 1.2282383489317055
315: [2.10382189 4.45440412] = 1.2264529478768231
316: [2.10563435 4.44860213] = 1.2246492404172016
317: [2.10220139 4.44753135] = 1.2228458671135336
318: [2.10401044 4.44163938] = 1.2210233759535043
319: [2.10056154 4.44058205] = 1.219201228947026
320: [2.10236701 4.43459653] = 1.2173591012143883
321: [2.09890148 4.43355277] = 1.2155173294542192
322: [2.10070318 4.42746993] = 1.2136546580606422
323: [2.09722031 4.42643987] = 1.2117923564339672
324: [2.09901802 4.42025567] = 1.209908175071708
325: [2.09551704 4.41923947] = 1.2080243794190486
326: [2.09731054 4.41294959] = 1.2061176569600638
327: [2.09379065 4.41194741] = 1.2042113384955835
328: [2.09557968 4.40554723] = 1.2022809727040609
329: [2.09204003 4.40455926] = 1.2003510317523807
