learning rate = 0.01
start point = [0, 0]

results: 
181: [1.9483643443373069, 0.9999997210047891] = -7.997333759063972
182: [1.9493970574505608, 0.9999997433244059] = -7.997439342205075
183: [1.9504091163015496, 0.9999997638584533] = -7.997540744253784
184: [1.9514009339755185, 0.999999782749777] = -7.997638130781359
185: [1.952372915296008, 0.9999998001297947] = -7.997731660802439
186: [1.953325456990088, 0.9999998161194119] = -7.99782148703468
187: [1.954258947850286, 0.999999830829859] = -7.997907756148122
188: [1.955173768893279, 0.9999998443634704] = -7.9979906090046695
189: [1.9560702935154135, 0.9999998568143929] = -7.998070180888096
190: [1.956948887645105, 0.9999998682692415] = -7.998146601724937
191: [1.957809909892203, 0.9999998788077021] = -7.998219996296638
192: [1.958653711694359, 0.999999888503086] = -7.998290484443297
193: [1.9594806374604719, 0.9999998974228391] = -7.9983581812593485
194: [1.9602910247112624, 0.999999905629012] = -7.9984231972814825
195: [1.9610852042170377, 0.999999913178691] = -7.99848563866914
196: [1.961863500132697, 0.9999999201243956] = -7.998545607377846
197: [1.962626230130043, 0.9999999265144439] = -7.998603201325685
198: [1.9633737055274416, 0.9999999323932883] = -7.998658514553191
199: [1.9641062314168927, 0.9999999378018253] = -7.998711637376887
200: [1.9648241067885548, 0.9999999427776792] = -7.998762656536764
201: [1.9655276246527837, 0.9999999473554649] = -7.99881165533791
202: [1.966217072159728, 0.9999999515670277] = -7.99885871378653
203: [1.9668927307165336, 0.9999999554416655] = -7.998903908720584
204: [1.9675548761022028, 0.9999999590063323] = -7.9989473139352505
205: [1.9682037785801587, 0.9999999622858258] = -7.998989000303415
206: [1.9688397030085556, 0.9999999653029596] = -7.9990290358914
207: [1.9694629089483844, 0.9999999680787228] = -7.999067486070101
208: [1.9700736507694165, 0.999999970632425] = -7.999104413621725
209: [1.9706721777540281, 0.999999972981831] = -7.999139878842306
210: [1.9712587341989476, 0.9999999751432845] = -7.99917393964015
211: [1.9718335595149685, 0.999999977131822] = -7.999206651630401
212: [1.9723968883246692, 0.9999999789612762] = -7.9992380682258375
213: [1.9729489505581757, 0.9999999806443741] = -7.999268240724095
214: [1.9734899715470122, 0.9999999821928242] = -7.999297218391421
215: [1.974020172116072, 0.9999999836173983] = -7.99932504854312
216: [1.9745397686737498, 0.9999999849280065] = -7.999351776620813
217: [1.975048973300275, 0.999999986133766] = -7.999377446266628
218: [1.9755479938342693, 0.9999999872430647] = -7.999402099394471
