learning rate = 0.1
start point = [0, 0]

results: 
140: [2.3533095512629372e-07, 2.3533095512629372e-07] = -2.6752959025969645e-09
141: [2.3701189292817546e-07, 2.3701189292817546e-07] = -2.6752959591079898e-09
142: [2.386928307642146e-07, 2.386928307642146e-07] = -2.6752960156190444e-09
143: [2.403737686344117e-07, 2.403737686344117e-07] = -2.6752960721300725e-09
144: [2.4205470653876674e-07, 2.4205470653876674e-07] = -2.67529612864112e-09
145: [2.4373564447727973e-07, 2.4373564447727973e-07] = -2.6752961851521784e-09
146: [2.4541658244995065e-07, 2.4541658244995065e-07] = -2.6752962416632293e-09
147: [2.47097520456779e-07, 2.47097520456779e-07] = -2.6752962981742806e-09
148: [2.4877845849776574e-07, 2.4877845849776574e-07] = -2.675296354685323e-09
149: [2.5045939657291044e-07, 2.5045939657291044e-07] = -2.675296411196396e-09
150: [2.521403346822121e-07, 2.521403346822121e-07] = -2.6752964677074514e-09
151: [2.5382127282567166e-07, 2.5382127282567166e-07] = -2.6752965242185072e-09
152: [2.5550221100328935e-07, 2.5550221100328935e-07] = -2.6752965807295743e-09
153: [2.571831492150643e-07, 2.571831492150643e-07] = -2.6752966372406326e-09
154: [2.5886408746099777e-07, 2.5886408746099777e-07] = -2.675296693751711e-09
155: [2.6054502574108897e-07, 2.6054502574108897e-07] = -2.6752967502627716e-09
156: [2.622259640553396e-07, 2.622259640553396e-07] = -2.675296806773853e-09
157: [2.6390690240374617e-07, 2.6390690240374617e-07] = -2.6752968632849254e-09
158: [2.655878407863104e-07, 2.655878407863104e-07] = -2.6752969197959995e-09
159: [2.6726877920303316e-07, 2.6726877920303316e-07] = -2.6752969763070747e-09
160: [2.6894971765391384e-07, 2.6894971765391384e-07] = -2.6752970328181604e-09
161: [2.70630656138952e-07, 2.70630656138952e-07] = -2.6752970893292472e-09
162: [2.723115946581482e-07, 2.723115946581482e-07] = -2.6752971458403353e-09
163: [2.7399253321150223e-07, 2.7399253321150223e-07] = -2.675297202351425e-09
164: [2.756734717990138e-07, 2.756734717990138e-07] = -2.6752972588625057e-09
165: [2.7735441042068324e-07, 2.7735441042068324e-07] = -2.6752973153736166e-09
166: [2.7903534907651143e-07, 2.7903534907651143e-07] = -2.6752973718846993e-09
167: [2.8071628776649623e-07, 2.8071628776649623e-07] = -2.675297428395793e-09
168: [2.8239722649063937e-07, 2.8239722649063937e-07] = -2.6752974849069078e-09
169: [2.8407816524894023e-07, 2.8407816524894023e-07] = -2.675297541418014e-09
170: [2.857591040413987e-07, 2.857591040413987e-07] = -2.675297597929111e-09
171: [2.8744004286801557e-07, 2.8744004286801557e-07] = -2.6752976544402192e-09
172: [2.8912098172879037e-07, 2.8912098172879037e-07] = -2.675297710951329e-09
173: [2.908019206237241e-07, 2.908019206237241e-07] = -2.6752977674624488e-09
174: [2.924828595528146e-07, 2.924828595528146e-07] = -2.6752978239735605e-09
175: [2.9416379851606234e-07, 2.9416379851606234e-07] = -2.6752978804846734e-09
176: [2.9584473751346794e-07, 2.9584473751346794e-07] = -2.675297936995797e-09
177: [2.975256765450321e-07, 2.975256765450321e-07] = -2.675297993506912e-09
178: [2.9920661561075485e-07, 2.9920661561075485e-07] = -2.6752980500180287e-09
179: [3.008875547106345e-07, 3.008875547106345e-07] = -2.675298106529165e-09
180: [3.0256849384467224e-07, 3.0256849384467224e-07] = -2.6752981630402843e-09
181: [3.0424943301286786e-07, 3.0424943301286786e-07] = -2.675298219551423e-09
182: [3.059303722152215e-07, 3.059303722152215e-07] = -2.675298276062544e-09
183: [3.0761131145173265e-07, 3.0761131145173265e-07] = -2.6752983325736855e-09
184: [3.092922507224017e-07, 3.092922507224017e-07] = -2.675298389084828e-09
185: [3.1097319002722826e-07, 3.1097319002722826e-07] = -2.6752984455959527e-09
186: [3.126541293662128e-07, 3.126541293662128e-07] = -2.675298502107098e-09
