learning rate = 0.1
start point = [0, 0]

results: 
232: [1.9999999999515505, 0.9999999999757748] = -8.0
233: [1.9999999999563955, 0.9999999999781973] = -8.0
234: [1.9999999999607552, 0.9999999999803776] = -8.0
235: [1.9999999999646796, 0.9999999999823398] = -8.0
236: [1.9999999999682117, 0.9999999999841058] = -8.0
237: [1.9999999999713904, 0.9999999999856953] = -8.0
238: [1.9999999999742515, 0.9999999999871257] = -8.0
239: [1.9999999999768263, 0.9999999999884132] = -8.0
240: [1.9999999999791438, 0.9999999999895719] = -8.0
241: [1.9999999999812295, 0.9999999999906147] = -8.0
242: [1.9999999999831064, 0.9999999999915533] = -8.0
243: [1.9999999999847957, 0.999999999992398] = -8.0
244: [1.999999999986316, 0.9999999999931583] = -8.0
245: [1.9999999999876843, 0.9999999999938424] = -8.0
246: [1.999999999988916, 0.9999999999944581] = -8.0
247: [1.9999999999900242, 0.9999999999950123] = -8.0
248: [1.9999999999910176, 0.9999999999955111] = -8.0
249: [1.9999999999919158, 0.99999999999596] = -8.0
250: [1.9999999999927243, 0.999999999996364] = -8.0
251: [1.999999999993452, 0.9999999999967276] = -8.0
252: [1.9999999999941067, 0.9999999999970549] = -8.0
253: [1.999999999994696, 0.9999999999973495] = -8.0
254: [1.9999999999952265, 0.9999999999976144] = -8.0
255: [1.9999999999957039, 0.999999999997853] = -8.0
256: [1.9999999999961335, 0.9999999999980679] = -8.0
257: [1.9999999999965201, 0.9999999999982611] = -8.0
258: [1.999999999996868, 0.9999999999984349] = -8.0
259: [1.9999999999971811, 0.9999999999985913] = -8.0
260: [1.999999999997463, 0.9999999999987322] = -8.0
261: [1.9999999999977165, 0.999999999998859] = -8.0
262: [1.999999999997945, 0.999999999998973] = -8.0
263: [1.9999999999981497, 0.9999999999990756] = -8.0
264: [1.9999999999983347, 0.999999999999168] = -8.0
265: [1.999999999998501, 0.9999999999992512] = -8.0
266: [1.9999999999986509, 0.999999999999326] = -8.0
267: [1.9999999999987856, 0.9999999999993934] = -8.0
268: [1.9999999999989073, 0.9999999999994541] = -8.0
269: [1.999999999999016, 0.9999999999995087] = -8.0
270: [1.9999999999991143, 0.9999999999995579] = -8.0
271: [1.9999999999992029, 0.9999999999996021] = -8.0
272: [1.9999999999992826, 0.9999999999996418] = -8.0
273: [1.9999999999993543, 0.9999999999996777] = -8.0
274: [1.999999999999419, 0.9999999999997099] = -8.0
275: [1.9999999999994758, 0.9999999999997389] = -8.0
276: [1.999999999999528, 0.999999999999765] = -8.0
277: [1.9999999999995752, 0.9999999999997885] = -8.0
278: [1.9999999999996179, 0.9999999999998096] = -8.0
279: [1.999999999999656, 0.9999999999998287] = -8.0
280: [1.9999999999996905, 0.9999999999998459] = -8.0
281: [1.9999999999997213, 0.9999999999998613] = -8.0
282: [1.9999999999997493, 0.9999999999998752] = -8.0
283: [1.9999999999997744, 0.9999999999998878] = -8.0
284: [1.999999999999797, 0.9999999999998991] = -8.0
285: [1.9999999999998177, 0.9999999999999092] = -8.0
286: [1.999999999999836, 0.9999999999999183] = -8.0
287: [1.9999999999998523, 0.9999999999999265] = -8.0
288: [1.999999999999867, 0.9999999999999338] = -8.0
289: [1.9999999999998803, 0.9999999999999404] = -8.0
290: [1.9999999999998923, 0.9999999999999464] = -8.0
291: [1.9999999999999032, 0.9999999999999517] = -8.0
292: [1.999999999999913, 0.9999999999999565] = -8.0
293: [1.9999999999999216, 0.9999999999999607] = -8.0
294: [1.9999999999999294, 0.9999999999999647] = -8.0
295: [1.9999999999999365, 0.9999999999999647] = -8.0
296: [1.999999999999943, 0.9999999999999647] = -8.0
297: [1.9999999999999487, 0.9999999999999684] = -8.0
298: [1.9999999999999538, 0.9999999999999716] = -8.0
299: [1.9999999999999583, 0.9999999999999716] = -8.0
300: [1.9999999999999625, 0.9999999999999716] = -8.0
301: [1.9999999999999665, 0.9999999999999745] = -8.0
302: [1.9999999999999705, 0.999999999999977] = -8.0
303: [1.999999999999973, 0.9999999999999793] = -8.0
304: [1.9999999999999751, 0.9999999999999793] = -8.0
305: [1.9999999999999776, 0.9999999999999793] = -8.0
306: [1.9999999999999798, 0.9999999999999815] = -8.0
307: [1.9999999999999825, 0.9999999999999833] = -8.0
308: [1.9999999999999842, 0.999999999999985] = -8.0
309: [1.999999999999987, 0.9999999999999866] = -8.0
310: [1.9999999999999882, 0.9999999999999879] = -8.0
311: [1.9999999999999891, 0.9999999999999891] = -8.0
312: [1.99999999999999, 0.9999999999999902] = -8.0
313: [1.9999999999999911, 0.9999999999999912] = -8.0
314: [1.999999999999992, 0.9999999999999912] = -8.0
315: [1.999999999999993, 0.9999999999999912] = -8.0
316: [1.9999999999999936, 0.9999999999999912] = -8.0
317: [1.9999999999999947, 0.9999999999999921] = -8.0
318: [1.9999999999999951, 0.9999999999999921] = -8.0
319: [1.9999999999999956, 0.9999999999999921] = -8.0
320: [1.999999999999996, 0.9999999999999921] = -8.0
321: [1.9999999999999964, 0.9999999999999921] = -8.0
322: [1.9999999999999967, 0.9999999999999921] = -8.0
323: [1.999999999999997, 0.9999999999999929] = -8.0
324: [1.999999999999997, 0.9999999999999929] = -8.0
