learning rate = 0.1
start point = [0.75, -1.25]

results: 
119: [-0.6653518439834111, -1.5110113308647843] = -9.482768667581988e-18
120: [-0.6764621602304, -1.5114523627827678] = -8.53727420145327e-18
121: [-0.6875270195800266, -1.5118886351938718] = -7.6860892487273e-18
122: [-0.6985463827999518, -1.512320309890577] = -6.919795640910425e-18
123: [-0.7095202066180057, -1.5127475452728298] = -6.2299174879042265e-18
124: [-0.7204484433097247, -1.51317049653437] = -5.60882667264888e-18
125: [-0.7313310402925688, -1.5135893158431108] = -5.049657853002993e-18
126: [-0.7421679397247826, -1.5140041525165369] = -4.546232010905294e-18
127: [-0.7529590781095798, -1.5144151531916137] = -4.092987686290474e-18
128: [-0.7637043859012758, -1.5148224619905173] = -3.684919120565591e-18
129: [-0.7744037871151599, -1.515226220681407] = -3.3175206130214908e-18
130: [-0.7850571989378391, -1.5156265688355617] = -2.986736464022383e-18
131: [-0.7956645313379334, -1.5160236439807506] = -2.6889159422176704e-18
132: [-0.8062256866772158, -1.516417581750593] = -2.4207727699223194e-18
133: [-0.8167405593195111, -1.5168085160312643] = -2.1793486718878923e-18
134: [-0.8272090352372338, -1.5171965791052644] = -1.9619805786970766e-18
135: [-0.8376309916161401, -1.5175819017917687] = -1.7662711172744425e-18
136: [-0.8480062964552654, -1.5179646135850913] = -1.59006205804837e-18
137: [-0.8583348081620821, -1.51834484279087] = -1.4314104216948697e-18
138: [-0.8686163751432141, -1.518722716659695] = -1.2885669783269535e-18
139: [-0.8788508353878691, -1.5190983615194436] = -1.1599568988969646e-18
140: [-0.8890380160452522, -1.5194719029054804] = -1.0441623428130405e-18
141: [-0.8991777329938159, -1.5198434656895843] = -9.399067874959621e-19
142: [-0.9092697904022784, -1.520213174207452] = -8.460409251693257e-19
143: [-0.9193139802818031, -1.5205811523848964] = -7.615299697496202e-19
144: [-0.929310082027763, -1.5209475238632906] = -6.854422325021886e-19
145: [-0.9392578619518239, -1.5213124121237105] = -6.169388393456468e-19
146: [-0.9491570728028118, -1.521675940610308] = -5.55264475451698e-19
147: [-0.9590074532755322, -1.5220382328530841] = -4.997390542778633e-19
148: [-0.9688087275074944, -1.5223994125899512] = -4.497502184991681e-19
149: [-0.9785606045626777, -1.5227596038880993] = -4.0474658959413325e-19
150: [-0.9882627779022248, -1.5231189312647775] = -3.6423169118770233e-19
151: [-0.9979149248409405, -1.5234775198073867] = -3.2775847877305746e-19
152: [-1.0075167059889707, -1.5238354952934785] = -2.9492441517952854e-19
153: [-1.0170677646795543, -1.5241929843094144] = -2.6536703724584214e-19
154: [-1.0265677263808823, -1.52455011436883] = -2.3875996460666995e-19
155: [-1.0360161980927844, -1.5249070140300371] = -2.1480930642944757e-19
156: [-1.0454127677273621, -1.5252638130126863] = -1.932504263539008e-19
157: [-1.054757003474143, -1.5256206423129834] = -1.73845029869664e-19
158: [-1.0640484531487513, -1.5259776343178852] = -1.5637854194187527e-19
159: [-1.0732866435260613, -1.526334922917311] = -1.4065774591950728e-19
160: [-1.0824710796569508, -1.526692643614668] = -1.265086576538797e-19
161: [-1.0916012441701393, -1.5270509336347085] = -1.1377461136429443e-19
162: [-1.1006765965583987, -1.5274099320286914] = -1.023145361314779e-19
163: [-1.1096965724503354, -1.5277697797760537] = -9.200140401043039e-20
164: [-1.1186605828684908, -1.5281306198819706] = -8.272083265290881e-20
165: [-1.127568013474362, -1.5284925974702364] = -7.436982703851534e-20
166: [-1.136418223802049, -1.5288558598704263] = -6.685564645134652e-20
167: [-1.1452105464817532, -1.5292205566983328] = -6.009478422307131e-20
